src,dst,rel
art_1996e9723c56591942ff0752610f9971,ent_f75bc82a0a57e945194ee2d726847441,MENTIONS
art_1996e9723c56591942ff0752610f9971,ent_678340b2b94c337f0bb78181275b3238,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_6bac619c34abd5bb1471edf26af3d67d,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_f89111fb49da60a126451b200dfeb345,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_73cb9346d4c28ed7183e400772654b27,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_efcea41751696d7564207ab9bfeb8fff,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_3772935531ff312176855fb68364ea90,MENTIONS
art_8a261327d9e9db7771d3c0b8db992b6f,ent_b1351ae93e2c57cce168ef036f440b49,MENTIONS
art_a04ec10c7789f053484f8eb0d8b597cd,ent_d36b13410347d500de53637c8b77e430,MENTIONS
art_a04ec10c7789f053484f8eb0d8b597cd,ent_bebb4a7c03b3c260f0af200e85396cdb,MENTIONS
art_a04ec10c7789f053484f8eb0d8b597cd,ent_939718a00177f4a7a8a8caf8e210b494,MENTIONS
art_a04ec10c7789f053484f8eb0d8b597cd,ent_02349980bba8ce563cdf709f74f96fc1,MENTIONS
art_a04ec10c7789f053484f8eb0d8b597cd,ent_312642cda4a86945e21c6ab3175203ec,MENTIONS
art_89bb21a62d8edd6405d5055351ba481e,ent_ef745e3d8a50bb8513fb76f49f80b808,MENTIONS
art_89bb21a62d8edd6405d5055351ba481e,ent_634d30f1d295382071bc70b8e883717b,MENTIONS
art_89bb21a62d8edd6405d5055351ba481e,ent_e7fa5bd660d6c130581e4d90d47ff4ba,MENTIONS
art_89bb21a62d8edd6405d5055351ba481e,ent_ae171307a190eef54157a27c0d5a76a2,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_12091da1e0384dde78dc00e8d4348209,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_6537a12c54c52be873427ef578b0e85f,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_85c12c700ccdc8bb7a6ef7137832b3d9,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_f3e8d35483387d3daf36ad089d741fb7,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_41c0e16d79ff281bcaf10d1d9c96b819,MENTIONS
art_01f3f6402ec1018ab647e9b61083afc8,ent_4770898cc7fb5246c710c5d353fda89e,MENTIONS
art_e53f8ea4683258fc1664abbe30f52a31,ent_527c1fb81b2145cf5a0ad2fcf0637cdb,MENTIONS
