entity_id,text,label
ent_f75bc82a0a57e945194ee2d726847441,Tonga,GPE
ent_678340b2b94c337f0bb78181275b3238,New Zealand,GPE
ent_6bac619c34abd5bb1471edf26af3d67d,Texas,GPE
ent_f89111fb49da60a126451b200dfeb345,Charlie Cytron-Walker,PERSON
ent_73cb9346d4c28ed7183e400772654b27,one,CARDINAL
ent_efcea41751696d7564207ab9bfeb8fff,four,CARDINAL
ent_3772935531ff312176855fb68364ea90,British,NORP
ent_b1351ae93e2c57cce168ef036f440b49,Malik Faisal Akram,PERSON
ent_d36b13410347d500de53637c8b77e430,Russia,GPE
ent_bebb4a7c03b3c260f0af200e85396cdb,Ukraine,EVENT
ent_939718a00177f4a7a8a8caf8e210b494,UK,GPE
ent_02349980bba8ce563cdf709f74f96fc1,Ukraine,GPE
ent_312642cda4a86945e21c6ab3175203ec,Russian,NORP
ent_ef745e3d8a50bb8513fb76f49f80b808,Hong Kong,GPE
ent_634d30f1d295382071bc70b8e883717b,two,CARDINAL
ent_e7fa5bd660d6c130581e4d90d47ff4ba,Covid,ORG
ent_ae171307a190eef54157a27c0d5a76a2,up to six months,DATE
ent_12091da1e0384dde78dc00e8d4348209,Dean Verberckmoes,PERSON
ent_6537a12c54c52be873427ef578b0e85f,Belgian,NORP
ent_85c12c700ccdc8bb7a6ef7137832b3d9,four-year old,DATE
ent_f3e8d35483387d3daf36ad089d741fb7,last week,DATE
ent_41c0e16d79ff281bcaf10d1d9c96b819,Belgium,GPE
ent_4770898cc7fb5246c710c5d353fda89e,Netherlands,GPE
ent_527c1fb81b2145cf5a0ad2fcf0637cdb,Anne Frank,PERSON
ent_c6f916eb5454c340c2cd29d599cba695,77 years,DATE
ent_07740e605e5c20d91cfb47078edf12e0,Nazis,NORP
ent_1690b441205a9ec69574163792a7324b,Jewish,NORP
ent_2c7d43272eeb3267f4d37b92b3b1c6d0,Afghanistan,GPE
ent_fbab5007f5f1af7b1d87b74997eafaf4,at least 22,CARDINAL
ent_d1f64bc475e40fff8275e5dd925398f6,UN,ORG
ent_9da0ab3c4dd6c335b87a5f170d0d805b,North Korea,GPE
ent_4c6b5f2dca39ff9c95afa864cfd82005,two weeks,DATE
ent_8d9e307cdb0c304cae2b1f9b1e6fcc63,this time of the year,DATE
ent_b306682ed5031302c99ed42cfadefb54,Winter Olympics 2022,EVENT
ent_1ab86e662db6c3f0e3436c652b54c962,year,DATE
ent_36bcd8bfa11bbedb111964d8fcb0874b,Winter Olympics,EVENT
ent_09654ed4944a7289f941860ba8c5748f,Beijing,GPE
ent_f0e8c2e872fd411db643229305088666,Covid-19,LAW
ent_5a7e16494888a8bebc43bff713c3086d,Chinese,NORP
ent_b266a3fc83b9ac0e8add4aa0393cbdd7,Djokovic,PERSON
ent_a6964d34244b0c371d8daae23166c026,Serbia,GPE
ent_7cdfe2efced81fb87017a9c0ff04a609,Australia,GPE
ent_4db8c3fb675dddfc0643b5622cb9478b,Belgrade,GPE
ent_27f4871c74647e2a30471f777255c565,Eric Zemmour,PERSON
ent_226a9421040b7f2d19e6a2ff542e6eac,France,GPE
ent_9f6d2e55e9123c33ef0b34017ebff498,Collarwali,WORK_OF_ART
ent_5c16be9e157855c334eca58121082e56,India,GPE
ent_45df412cbb6c78d74a3f9a512214bca2,Nigeria,GPE
ent_97b49ddcf197687597eead2f3b8ae62b,Twitter,ORG
ent_aab2051e760de4c6bab7612178b3896c,Brussels,GPE
ent_adafd11128e9f209cb13a62c67f4a2b4,Europe,LOC
ent_01beab074bd0e20ed0e0e2ceea1262de,decades,DATE
ent_21a74440e152a2e5176e6ca1e157a6f0,BBC Europe,ORG
ent_e7a828ee1b2585e904836ef786941210,Katya Adler,PERSON
ent_20c727e9686e65ccf14fee2431bb0cd7,Netflix,ORG
ent_cc5d8997e49c25fa14b8cb6e9412ce8b,Pacific,LOC
ent_397db103ecd7fc3d1bcd7a507fa3be8e,the weekend,DATE
ent_0ea47929d79b1658323a9d6b41a8bf0c,Colombo Port City,GPE
ent_6874ca5ab147289c219b829309436f86,Dubai,GPE
ent_f20011e5270666592304898988523261,China,GPE
ent_9d7c7c1e54e0d5ebd992c04fc74f96e1,Sri Lanka,GPE
ent_0eba5b8b045d8b9914ebbe91f4f34ae3,Mexico,GPE
